,0
0,0.8168060309709988
1,0.8267711647319311
2,0.8267711647319311
3,0.8267711647319311
4,0.8267711647319311
5,0.8267711647319311
6,0.8267711647319311
7,0.8267711647319311
8,0.8267711647319311
9,0.8267711647319311
10,0.8267711647319311
11,0.8267711647319311
12,0.8267711647319311
13,0.8267711647319311
14,0.8267711647319311
15,0.8267711647319311
16,0.8267711647319311
17,0.8267711647319311
18,0.8267711647319311
19,0.8267711647319311
20,0.8267711647319311
21,0.8267711647319311
22,0.826573742538498
23,0.826573742538498
24,0.8167979088124838
25,0.8222874293056126
26,0.7896160039856299
27,0.789676940363105
28,0.8122873672164939
29,0.8111792265415291
30,0.8227903018535117
31,0.8267711647319311
32,0.8267711647319311
33,0.8267711647319311
34,0.8267711647319311
35,0.8267711647319311
36,0.8267711647319311
37,0.8267711647319311
38,0.8267711647319311
39,0.8267711647319311
40,0.826573742538498
41,0.826573742538498
42,0.8267711647319311
43,0.8267711647319311
44,0.8267711647319311
45,0.8267711647319311
46,0.8267711647319311
47,0.8267711647319311
48,0.8267711647319311
49,0.8267711647319311
50,0.8267711647319311
51,0.826573742538498
52,0.826573742538498
53,0.8267711647319311
54,0.8267711647319311
55,0.8214928811291351
56,0.7992870473651199
57,0.8082423299836075
58,0.7923896035209246
59,0.7791431083770359
60,0.7894535201943783
61,0.7801163847430377
62,0.7816429182557674
63,0.7808101937001163
64,0.7972381291134512
65,0.783584596555275
66,0.788337257360898
67,0.7938162109643887
68,0.7910149920280476
69,0.7945774472014353
70,0.7991789893070695
71,0.8021500011242862
72,0.826573742538498
73,0.8267711647319311
74,0.8267711647319311
75,0.8267711647319311
76,0.826573742538498
77,0.7925918999843697
78,0.7899214792813576
79,0.8010808599713813
80,0.8020192076842291
81,0.7915268149143457
82,0.7931240334258162
83,0.7941224994914917
84,0.7878692982739186
85,0.7971593171629233
86,0.8135116781152713
87,0.8139609482353389
88,0.826573742538498
89,0.8267711647319311
90,0.8267711647319311
91,0.8267711647319311
92,0.8267711647319311
93,0.8267711647319311
94,0.8267711647319311
95,0.8267711647319314
96,0.8267711647319311
97,0.8267711647319311
98,0.8267711647319311
99,0.8267711647319311
100,0.8267711647319311
101,0.8244630796337347
102,0.8267711647319314
103,0.826573742538498
104,0.826573742538498
105,0.8267711647319311
106,0.8267711647319311
107,0.8267711647319311
108,0.8267711647319311
109,0.8267711647319311
110,0.8267711647319311
111,0.8267711647319311
112,0.8267711647319311
113,0.8267711647319311
114,0.8267711647319311
115,0.8267711647319311
116,0.8267711647319311
117,0.8267711647319311
